run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,created_at,date,time,timestamp
continuous_simulation_20251009_095623,6,11758.32,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,611
continuous_simulation_20251009_095623,6,12417.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,612
continuous_simulation_20251009_095623,6,12897.71,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,613
continuous_simulation_20251009_095623,6,13410.56,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,614
continuous_simulation_20251009_095623,7,93.52,0.0,0.8,0.7777777777777778,3.31,2025-01-01,2025-01-01,00:00:00,615
continuous_simulation_20251009_095623,7,11758.32,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,616
continuous_simulation_20251009_095623,7,12417.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,617
continuous_simulation_20251009_095623,7,12897.71,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,618
continuous_simulation_20251009_095623,7,13410.56,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,619
continuous_simulation_20251009_095623,8,11758.32,0.0,0.8,0.8888888888888888,3.31,2025-01-01,2025-01-01,00:00:00,620
continuous_simulation_20251009_095623,8,12417.71,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,621
continuous_simulation_20251009_095623,8,12897.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,622
continuous_simulation_20251009_095623,8,13410.56,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,623
continuous_simulation_20251009_095623,8,13954.57,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,624
continuous_simulation_20251009_095623,9,11758.32,0.0,0.8,0.8888888888888888,3.31,2025-01-01,2025-01-01,00:00:00,625
continuous_simulation_20251009_095623,9,12417.71,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,626
continuous_simulation_20251009_095623,9,12897.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,627
continuous_simulation_20251009_095623,9,13410.56,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,628
continuous_simulation_20251009_095623,9,13954.57,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,629
continuous_simulation_20251009_095623_initial,1,3850.0,0.0,0.7,0.0,3.33,2025-01-01,2025-01-01,00:00:00,630
continuous_simulation_20251009_095623_initial,1,11758.32,0.0,0.8,0.8888888888888888,3.28,2025-01-01,2025-01-01,00:00:00,631
continuous_simulation_20251009_095623_initial,1,12417.71,0.0,0.8,1.0,3.24,2025-01-01,2025-01-01,00:00:00,632
continuous_simulation_20251009_095623_initial,1,12897.71,0.0,0.85,1.0,3.2,2025-01-01,2025-01-01,00:00:00,633
continuous_simulation_20251009_095623_initial,1,13410.56,0.3333333333333333,0.8,1.0,3.17,2025-01-01,2025-01-01,00:00:00,634
continuous_simulation_20251009_095623_initial,2,3850.0,0.0,0.7,0.0,3.33,2025-01-01,2025-01-01,00:00:00,635
continuous_simulation_20251009_095623_initial,2,11758.32,0.0,0.8,0.8888888888888888,3.28,2025-01-01,2025-01-01,00:00:00,636
continuous_simulation_20251009_095623_initial,2,12417.71,0.0,0.8,1.0,3.24,2025-01-01,2025-01-01,00:00:00,637
continuous_simulation_20251009_095623_initial,2,12897.71,0.0,0.85,1.0,3.2,2025-01-01,2025-01-01,00:00:00,638
continuous_simulation_20251009_095623_initial,2,13410.56,0.3333333333333333,0.8,1.0,3.17,2025-01-01,2025-01-01,00:00:00,639
continuous_simulation_20251009_095623_initial,3,3850.0,0.0,0.8,0.3333333333333333,3.33,2025-01-01,2025-01-01,00:00:00,640
continuous_simulation_20251009_095623_initial,3,11758.32,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,641
continuous_simulation_20251009_095623_initial,3,12417.71,0.0,0.85,1.0,3.24,2025-01-01,2025-01-01,00:00:00,642
continuous_simulation_20251009_095623_initial,3,12897.71,0.0,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,643
continuous_simulation_20251009_095623_initial,3,13410.56,0.3333333333333333,0.85,1.0,3.17,2025-01-01,2025-01-01,00:00:00,644
continuous_simulation_20251009_095623_initial,4,3698.33,0.0,0.8,0.3333333333333333,3.33,2025-01-01,2025-01-01,00:00:00,645
continuous_simulation_20251009_095623_initial,4,11758.32,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,646
continuous_simulation_20251009_095623_initial,4,12417.71,0.0,0.85,1.0,3.24,2025-01-01,2025-01-01,00:00:00,647
continuous_simulation_20251009_095623_initial,4,12897.71,0.0,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,648
continuous_simulation_20251009_095623_initial,4,13410.56,0.3333333333333333,0.85,1.0,3.17,2025-01-01,2025-01-01,00:00:00,649
continuous_simulation_20251009_095623_initial,6,93.52,0.0,0.8,0.6666666666666666,3.31,2025-01-01,2025-01-01,00:00:00,650
continuous_simulation_20251009_095623_initial,6,11758.32,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,651
continuous_simulation_20251009_095623_initial,6,12417.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,652
continuous_simulation_20251009_095623_initial,6,12897.71,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,653
continuous_simulation_20251009_095623_initial,6,13410.56,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,654
continuous_simulation_20251009_095623_initial,8,11758.32,0.0,0.8,0.8888888888888888,3.31,2025-01-01,2025-01-01,00:00:00,655
continuous_simulation_20251009_095623_initial,8,12417.71,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,656
continuous_simulation_20251009_095623_initial,8,12897.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,657
continuous_simulation_20251009_095623_initial,8,13410.56,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,658
continuous_simulation_20251009_095623_initial,8,13954.57,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,659
continuous_simulation_20251009_095623_initial,9,11758.32,0.0,0.8,0.8888888888888888,3.31,2025-01-01,2025-01-01,00:00:00,660
continuous_simulation_20251009_095623_initial,9,12417.71,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,661
continuous_simulation_20251009_095623_initial,9,12897.71,0.0,0.85,1.0,3.23,2025-01-01,2025-01-01,00:00:00,662
continuous_simulation_20251009_095623_initial,9,13410.56,0.0,0.8,1.0,3.19,2025-01-01,2025-01-01,00:00:00,663
continuous_simulation_20251009_095623_initial,9,13954.57,0.2,0.85,1.0,3.16,2025-01-01,2025-01-01,00:00:00,664
continuous_simulation_20251009_100640,1,3850.0,0.0,0.7,0.0,3.33,2025-01-01,2025-01-01,00:00:00,665
continuous_simulation_20251009_100640,1,11710.32,0.0,0.8,0.8888888888888888,3.3,2025-01-01,2025-01-01,00:00:00,666
continuous_simulation_20251009_100640,1,12294.32,0.0,0.8,1.0,3.26,2025-01-01,2025-01-01,00:00:00,667
